"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"87","Thanks Craig Williams of Business Innovators Radio for the chance to speak about #ELOSSports #NBA and my history!… https://t.co/vb9AzZTvJm",FALSE,3,NA,2017-10-10 05:00:03,TRUE,NA,"917615691112558592",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","1MoEvans",0,FALSE,FALSE,NA,NA
"88","Thanks Craig Williams of Business Innovators Radio for the chance to speak about #ELOSSports #NBA and my history!… https://t.co/pJxB1o569P",FALSE,4,NA,2017-10-10 05:00:03,TRUE,NA,"917615688931528704",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","ELOSSports",0,FALSE,FALSE,NA,NA
"89","RT @docrocktex26: Take note that #KKKInChief went after a Black woman (@jemelehill) before the NFL/NBA. He's done nothing but prove *her* p…",FALSE,0,NA,2017-10-10 04:57:30,FALSE,NA,"917615046829604864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","22aspen36",273,TRUE,FALSE,NA,NA
"90","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 04:53:16,FALSE,NA,"917613983477174272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alexand022000",91,TRUE,FALSE,NA,NA
"91","@Dontaa_ @IAmNoBoss they dropped the nba Nike collection",FALSE,0,"Dontaa_",2017-10-10 04:53:04,FALSE,NA,"917613932025487360","317341150","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","twenty9hunnid",0,FALSE,FALSE,NA,NA
"92","RT @TrellHoop9: @_bubba77  he back <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> https://t.co/I0Islhsdk3",FALSE,0,NA,2017-10-10 04:52:52,FALSE,NA,"917613880817455104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_bubba77",1,TRUE,FALSE,NA,NA
"93","RT @RocketsTalk_: -Bonjour, parlez-nous de NBA.
-Je connais M.Jordan et Tony Parker.
-Bienvenue dans la fanbase des Warriors. https://t.co/…",FALSE,0,NA,2017-10-10 04:50:46,FALSE,NA,"917613353857675264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flosobad",91,TRUE,FALSE,NA,NA
"94","RT @1MoEvans: Thanks @AlexKennedyNBA for the opportunity to speak about the #NBA, my career, and contribution to the NBAPA.  https://t.co/X…",FALSE,0,NA,2017-10-10 04:44:53,FALSE,NA,"917611873880760321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lance_972",2,TRUE,FALSE,NA,NA
"95","RT @1MoEvans: Thanks @AlexKennedyNBA for the opportunity to speak about the #NBA, my career, and contribution to the NBAPA.  https://t.co/X…",FALSE,0,NA,2017-10-10 04:44:28,FALSE,NA,"917611769123786753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DuncanSmithNBA",2,TRUE,FALSE,NA,NA
"96","Houston Rockets vs New York Knicks – Full Game Highlights | October 9, 2017 | 2017 NBA… https://t.co/8LWA4AO2qI https://t.co/DRoZJyjKrU",FALSE,0,NA,2017-10-10 04:44:20,FALSE,NA,"917611732545212416",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","houstoninformer",0,FALSE,FALSE,NA,NA
"97","Thanks @AlexKennedyNBA for the opportunity to speak about the #NBA, my career, and contribution to the NBAPA.  https://t.co/XtZUpyz7Ru",FALSE,8,NA,2017-10-10 04:44:00,FALSE,NA,"917611651658080256",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","1MoEvans",2,FALSE,FALSE,NA,NA
"98","@b_harllee @NBA @dallasmavs Maybe, but probably just going to keep being bad for a while. You guys should be Rockets fans, cmon!",FALSE,2,"b_harllee",2017-10-10 04:43:11,FALSE,"917591540452732933","917611443310288896","761987545601224704","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrandNewWes",0,FALSE,FALSE,NA,NA
"99","RT @A_A_Ron_Rodgers: Christopher Columbus:
- Can't navigate properly
- Enslaved ppl

JR Smith:
- NBA champ
- Henny God
- Hall of fame diffi…",FALSE,0,NA,2017-10-10 04:40:27,FALSE,NA,"917610758116126720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zuripatuti",6,TRUE,FALSE,NA,NA
"100","RT @A_A_Ron_Rodgers: Christopher Columbus:
- Can't navigate properly
- Enslaved ppl

JR Smith:
- NBA champ
- Henny God
- Hall of fame diffi…",FALSE,0,NA,2017-10-10 04:39:37,FALSE,NA,"917610545494265856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","C0ras_",6,TRUE,FALSE,NA,NA
